Event,Platform,White,Black,Result,WhiteElo,BlackElo,UTCDate,UTCTime,ECO,TimeControl,Termination,Link,Moves
Live Chess,Chess.com,dsanjr00,dhawalplaysd4,1-0,1899,1868,2020.12.01,06:32:03,B02,60,dsanjr00 won on time,Chess.com,e4 d5 exd5 Nf6 Nc3 Nxd5 d4 Nxc3 bxc3 e5 Be3 exd4 cxd4 c5 c3 cxd4 cxd4 Nc6 Nf3 Bf5 Bb5 Bb4+ Bd2 Bxd2+ Qxd2 Qe7+ Be2 O-O O-O Qc7 Ne5 Nxe5 dxe5 Rad8 Qf4 Rfe8 Rfe1 Bg6 Bb5 a6 Rac1 Qa5 Bxe8 Rxe8 e6 fxe6 Red1 e5 Qf3 e4 Qb3+ Kh8 Qxb7 e3 fxe3 Qe5 Re1 Be4 Qc7 Qg5 Qg3 Qf6 Rf1 Qe5 Qxe5 Rg8 Qe7 Bg6 Rf8 h6 Rxg8+ Kxg8 Rc8+ Kh7 Qf8 Be8 Qh8+ Kxh8 Rxe8+ Kh7 Ra8 Kg6 Rxa6+ Kg5 Rb6 h5 a4 g6 a5 Kh6 a6 h4 a7 Kh5 a8=Q h3 Qc6 Kg5 Qxg6+ Kh4 Qg3+
Live Chess,Chess.com,Gutzrsv,dhawalplaysd4,1/2-1/2,1831,1876,2020.12.01,06:29:31,D00,60,Game drawn by repetition,Chess.com,d4 d5 Bf4 Nc6 Bg3 Nf6 e3 Bf5 Bd3 e6 Bxf5 exf5 c3 Bd6 Qc2 Bxg3 hxg3 g6 Nd2 Ne4 Ngf3 O-O O-O f6 a3 Qd6 c4 dxc4 Nxc4 Qd5 Rac1 a6 Rfd1 b5 Ncd2 Na5 Nxe4 fxe4 Nd2 Rae8 Qxc7 Rf7 Qc2 Nc4 Nxc4 bxc4 b4 cxb3 Qb2 Kg7 Rc5 Qe6 Rb1 Rb8 a4 a5 Rxa5 Rfb7 Rb5 Rxb5 axb5 Rxb5 Rc1 f5 Rc3 Kh6 Kh2 g5 Rc1 f4 Rd1 fxe3 fxe3 g4 Rf1 Rh5+ Kg1 Qe7 Qxb3 Qg5 Rf4 Kg7 Qb7+ Kh6 Qc6+ Kg7 Qd7+ Kh6 Qe6+ Kg7 Rf6 Qxe3+ Rf2 Qc1+ Rf1 Qe3+ Rf2 Qe2 Rf1 Qe3+ Rf2
Live Chess,Chess.com,Tamilronaldo,dhawalplaysd4,0-1,1931,1877,2020.12.01,06:28:36,A00,60,dhawalplaysd4 won by resignation,Chess.com,g3 d5 Bg2 e5 Nf3 Nf6 O-O e4 Nd4 c5 Nb3 c4 Nd4 Bc5 e3 Nc6 Nxc6 bxc6 d3 Ba6 dxc4 Bxc4 Re1 Bb4 Bd2 Bxd2 Nxd2 Qc7 Nxc4 dxc4 Qe2 O-O Qxc4 a5 Bxe4 Nxe4 Qxe4 Rfe8 Red1 Rxe4
Live Chess,Chess.com,dhawalplaysd4,RileyF,1-0,1867,1831,2020.12.01,06:25:36,B01,60,dhawalplaysd4 won on time,Chess.com,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 Nf6 Bc4 Bg4 d3 e6 h3 Bxf3 Qxf3 c6 Bf4 Be7 Ne4 O-O O-O-O Nbd7 g4 Nb6 g5 Nfd5 Bxd5 Nxd5 Nc3 Nxf4 Qxf4 Bd6 Qe3 Be7 f4 a5 h4 a4 h5 a3 b3 g6 hxg6 fxg6 Ne4 Rf5 Qh3 Rf7 Rd2 Qf8 Rdh2 Qg7 Nc3 Qxc3 d4 Qxh3 Rxh3 Bb4 Kd1 Rd8 c3 Ba5 b4 Bc7 Re3 e5 fxe5 Rdf8 Rhe1 Rf2 e6 Re8 e7 Rxa2 c4 Rb2 d5
Live Chess,Chess.com,dhawalplaysd4,Vorap,0-1,1859,1915,2020.12.01,06:23:26,B01,60,Vorap won by checkmate,Chess.com,e4 d5 exd5 Qxd5 Nc3 Qd8 Nf3 Bg4 Bc4 Nf6 h3 Bxf3 Qxf3 e6 Qxb7 Nbd7 Bb5 Bc5 Bxd7+ Nxd7 Nb5 Qf6 Nxc7+ Ke7 Nxa8 Qxf2+ Kd1 Qxg2 Re1 Qxb7 d3 Qxa8 Be3 Qf3+ Kd2 Bxe3+ Rxe3 Qf2+ Re2 Qf4+ Re3 Nc5 b4 Nd7 Re1 Nf6 d4 Nd5 c4 Nxe3 Rxe3 Qxd4+ Rd3 Qxc4 Ke3 Qxb4 a3 Qc5+ Ke4 Qc4+ Ke3 Rc8 Rd1 Qc3+ Rd3 Qc1+ Rd2 Rc3+ Ke2 Rc2 Rxc2 Qxc2+ Ke3 Qb3+ Ke4 Qxa3 Kf4 Qxh3 Kg5 Qf5+ Kh4 g5+ Kg3 Qf4+ Kh3 Qf3+ Kh2 g4 Kg1 a5 Kh2 a4 Kg1 a3 Kh2 a2 Kg1 a1=Q+ Kh2 Qa2+ Kg1 Qd1#
Live Chess,Chess.com,dhawalplaysd4,GalaPicazo,1-0,1866,1790,2020.12.01,06:21:25,C21,60,dhawalplaysd4 won by checkmate,Chess.com,e4 e5 d4 exd4 c3 Nc6 cxd4 Bb4+ Nc3 Nf6 e5 Ne4 Ne2 O-O Bd2 Nxd2 Qxd2 d6 a3 Ba5 h4 dxe5 dxe5 Nxe5 f4 Qxd2+ Kxd2 Nc4+ Kc2 Ne3+ Kd2 Nxf1+ Rhxf1 Bf5 Nd4 Rad8 Ke3 Bg6 f5 Bh5 Nce2 Bxe2 Nxe2 Rd2 b4 Rxe2+ Kxe2 Bb6 a4 a6 a5 Ba7 g4 c5 g5 cxb4 Rab1 Bc5 f6 gxf6 gxf6 Re8+ Kf3 Kf8 Kf4 Re3 Kf5 Rh3 Rbe1 Rxh4 Rc1 b6 axb6 Bxb6 Rc8+ Bd8 Rxd8#
Live Chess,Chess.com,dhawalplaysd4,Blaireau101,1-0,1859,1761,2020.12.01,06:19:02,B32,60,dhawalplaysd4 won on time,Chess.com,e4 c5 d4 cxd4 Nf3 Nc6 Nxd4 Qc7 Nxc6 Qxc6 f3 e6 Nc3 Qc7 Be3 a6 Bd3 b5 a3 Bd6 g3 Nf6 f4 Be7 e5 Ng8 Qf3 Bb7 Ne4 Qc6 O-O-O f5 exf6 Nxf6 Nxf6+ Bxf6 Qxc6 Bxc6 Rhe1 O-O-O a4 h6 axb5 Bxb5 Be4 d5 Bd3 Bc6 Re2 Kc7 Bxa6 Ra8 Bd3 Ra1+ Kd2 Rxd1+ Kxd1 Bxb2 Ke1 Bc3+ Kf2 Ra8 Bd2 Bd4+ Be3 Bc3 Kf3 d4+ Kf2 dxe3+ Rxe3 Bd4 Ke2 Bxe3 Kxe3 Ra5 c3 Rd5 c4 Rd6 Be4 Bxe4 Kxe4 Kc6 Kf3 Kc5 Kg4 Kxc4 f5 Rd5 f6 Re5 f7 Rf5 f8=Q Rxf8 Kh4 e5 h3 e4 g4 e3 Kh5 e2 Kg6 e1=Q Kxg7
Live Chess,Chess.com,dhawalplaysd4,ffgffgffg,0-1,1853,2036,2020.12.01,06:17:23,B34,60,ffgffgffg won by checkmate,Chess.com,e4 c5 d4 cxd4 Nf3 Nc6 Nxd4 g6 Nxc6 bxc6 Nc3 Bg7 Bc4 Nf6 e5 Nd5 Nxd5 cxd5 Bxd5 Rb8 Bf4 O-O h4 Qa5+ c3 Rxb2 O-O Qxc3 Rc1 Qa5 Bb3 Ba6 Re1 d6 Bc4 Bxc4 Rxc4 Qxa2 Rce4 dxe5 Bc1 Rxf2 Rf1 Rxg2+ Kh1 Rh2+ Kg1 Qg2#
Live Chess,Chess.com,suhendar86,dhawalplaysd4,0-1,1745,1857,2020.12.01,06:14:54,B01,60,dhawalplaysd4 won on time,Chess.com,e4 d5 e5 f6 exf6 Nxf6 Nf3 Nc6 d4 Bf5 c3 e6 Bb5 Be7 O-O Qd7 Qe2 Qd8 Bg5 O-O Nbd2 h6 Bxf6 Bxf6 Nh4 Bh7 Nhf3 a6 Qxe6+ Kh8 Bxc6 bxc6 Ne5 Bxe5 dxe5 Rf5 Rae1 Rg5 Qxc6 Rb8 Nf3 Rg6 e6 Qe7 Qxa6 Rxb2 Qa8+ Bg8 Qxd5 Rb8 c4 Rd8 Qe5 Bxe6 Qc3 Qf6 Ne5 Qg5 g3 Rf6 f4 Qf5 Nf3 Qc5+ Kg2 Kh7 Ne5 Bf5 Qc2 Qa5 Qe2 Rd2 Rf2 Rxe2 Rfxe2 Qc5 h3 g6 Ng4 Be4+ Kh2 Bc6 Nxf6+ Kg7 Re7+ Qxe7 Rxe7+ Kxf6 Re3 Be4 Rb3 g5 a4 Kf5 fxg5 Kxg5
Live Chess,Chess.com,ElRayoServin,dhawalplaysd4,1-0,1592,1851,2020.12.01,05:51:53,B02,60,ElRayoServin won by checkmate,Chess.com,e4 d5 exd5 Nf6 Nc3 Nxd5 Nxd5 Qxd5 Nf3 Bf5 d3 Nc6 c3 e5 Be2 e4 dxe4 Qxd1+ Kxd1 Bxe4 Be3 O-O-O+ Bd2 Bxf3 Bxf3 Bd6 Kc2 Rhe8 Bxc6 bxc6 Rhe1 Rxe1 Rxe1 h6 h3 g5 f3 f5 g4 Bf4 Bxf4 gxf4 Rd1 fxg4 hxg4 Rxd1 Kxd1 Kd7 Kd2 Ke6 Kd3 Ke5 a3 a5 b4 a4 c4 Kd6 Kd4 Ke6 Ke4 Kd6 Kxf4 Ke6 g5 hxg5+ Kxg5 Kf7 f4 Ke6 Kg6 Ke7 f5 Kf8 Kf6 Kg8 Ke6 Kf8 Kd7 c5 Kxc7 cxb4 axb4 a3 b5 a2 b6 a1=Q b7 Qg7+ Kb6 Qg3 Ka7 Qc7 Ka8 Qc6 Ka7 Qc7 Ka8 Qc6 Ka7 Ke7 c5 Qxc5+ Ka8 Qc7 f6+ Kd6 f7 Qc6 f8=Q+ Kd5 Qf5+ Kc4 Qf4+ Kb3 Qf3+ Ka4 Qxc6+ Ka5 Qc8 Ka6 b8=Q+ Ka5 Qcb7 Ka4 Q7a7#
Live Chess,Chess.com,Catursaya,dhawalplaysd4,1-0,1836,1864,2020.12.01,05:50:01,D02,60,Catursaya won by checkmate,Chess.com,e3 d5 Nf3 e6 d4 Nc6 c4 Nf6 cxd5 Nxd5 Bb5 Nf6 Ne5 Bd7 Nxd7 Qxd7 Be2 a6 Nd2 Bb4 a3 Ba5 b4 Bb6 Nf3 Ne4 O-O O-O Bd3 Nf6 Qc2 Ne7 Ne5 Qd6 Bb2 Ng6 Nxg6 fxg6 d5 Nxd5 Bc4 c6 Bxd5 cxd5 Qc3 Rac8 Qxg7#
