Event,Platform,White,Black,Result,WhiteElo,BlackElo,UTCDate,UTCTime,ECO,TimeControl,Termination,Link,Moves
Casual bullet game,Lichess.org,dhawalplayse4,TheGuyDownstairs,0-1,2002,2071,2020.11.27,06:44:34,D00,60+0,Normal,https://lichess.org/gY4mgGqH,e4 d5 d4 dxe4 Nc3 Nf6 Bg5 Bg4 Bxf6 Bxd1 Kxd1 gxf6 f3 Qxd4+ Kc1 e3 Nge2 Qd2+ Kb1 c6 g3 e6 Bg2 Qd8 Rd1 Qb6 Na4 Qa6 Nac3 Nd7 Bf1 Qb6 Na4 Qc7 Nac3 Bb4 a3 Bxc3 Nxc3 f5 f4 Nf6 Be2 Ne4 Rd3 Qb6 Na4 Qa6 Rd2 Nxd2+ Ka2 Qxa4
Casual bullet game,Lichess.org,dhawalplayse4,CONTROL-F,0-1,2002,2196,2020.11.27,06:43:03,C41,60+0,Normal,https://lichess.org/zvFH56W4,e4 d6 d4 Nf6 Nc3 Nbd7 Nf3 e5 Bd3 c6 dxe5 dxe5 Be3 Qc7 Qd2 Bc5 O-O-O Bxe3 Qxe3 b5 a3 a5 Ne2 b4 Nd2 bxa3 bxa3 Rb8 Nb3 a4 Na1 Qa5 Qd2 Qb6 c3 O-O f4 Re8 fxe5 Nxe5 Bc2 Qb2#
Casual bullet game,Lichess.org,SANICHIK,dhawalplayse4,1-0,2104,2002,2020.11.27,06:41:33,B01,60+0,Normal,https://lichess.org/sFhbu2jC,e4 d5 exd5 Nf6 d4 Nxd5 Nc3 Nf6 Nf3 Bf5 Bd3 e6 Bxf5 exf5 Qd3 Nc6 Qxf5 Be7 O-O O-O Bf4 g6 Qh3 Nxd4 Nxd4 Qxd4 Be3 Qe5 Rae1 Qe6 Qh6 Ng4 Qf4 Nxe3 Rxe3 Qf6 Qg4 Kg7 Nd5 Qe6 Rxe6 fxe6 Qxe6
Casual bullet game,Lichess.org,Queenslandr,dhawalplayse4,0-1,2008,2002,2020.11.27,06:39:28,D00,60+0,Time forfeit,https://lichess.org/r7njdyNN,d4 d5 Bf4 e6 e3 Nc6 Nf3 Bd6 Bb5 Bxf4 Bxc6+ bxc6 exf4 Nf6 Ne5 Bd7 c3 O-O g4 Ne4 f3 Nf6 g5 Ne8 h4 f6 Nxd7 Qxd7 Nd2 fxg5 fxg5 Qf7 Qe2 Nd6 O-O-O Nf5 Rdf1 Ng3 Qg2 Nxh1 Qxh1 Qf4 h5 h6 gxh6 gxh6 Qh3 Kh7 Qxe6 Rae8 Qxc6 Re2 Qxc7+ Rf7 Qxf4 Rxf4 Rg1 Rh2 Rg6 Rxh5 Rd6 Rh1+ Kc2 Rh2 Rxd5 Rxd2+ Kxd2 Rxf3 Rd7+ Kg6 Rxa7 Rh3 Re7 Rh2+ Kd3 Rh3+ Re3 Rh4 Re4 Rh3+
Casual bullet game,Lichess.org,dhawalplayse4,Goet,0-1,2002,2171,2020.11.27,06:38:10,B06,60+0,Normal,https://lichess.org/ruHMjzw1,e4 g6 d4 Bg7 Nc3 d6 Nf3 Nd7 Bd3 Ngf6 Be3 O-O Qd2 Ng4 h3 Nxe3 Qxe3 c5 dxc5 Nxc5 b4 Nxd3+ cxd3 Bxc3+ Ke2 Bxa1 Rxa1 Qb6 Qxb6 axb6 Rg1 Rxa2+ Ke3 Bd7 Nd4 Rc8 Nb3 Rc3 Nd4 Raa3 Rd1 e5 Nf3 Bb5 Ne1 Ra2 f3 Rb3 f4 Rxb4 fxe5 dxe5 g4 Ra3 Nf3 f6 g5 Rbb3 Ke2 Bxd3+ Rxd3 Rxd3
Rated bullet game,Lichess.org,dhawalplayse4,yaduushulegch,1-0,1997,1963,2020.11.26,19:05:31,B01,60+0,Normal,https://lichess.org/D4zEzSqC,e4 d5 exd5 Bg4 Qxg4 Nf6 Qf3 Nxd5 Nc3 c6 Nxd5 cxd5 Bb5+ Nc6 Bxc6+ bxc6 Ne2 e6 c3 Bd6 d4 O-O Bf4 Rc8 Bxd6 Qxd6 Qf4 Rb8 Qxd6 Rxb2 Qxc6 Rfb8 Rd1 h5 O-O Kh7 Qc7 R8b7 Qf4 Rxe2 Rfe1 Rxa2 Re5 g6 h3 Kg7 Rd3 Rbb2 Rf3 f5 Rxe6 Kf7 Qe5 Rb7 Qf6+ Kg8 Qxg6+ Kh8 Qh6+ Rh7 Qf8#
Rated bullet game,Lichess.org,EvReNAyKuTt,dhawalplayse4,0-1,1942,1992,2020.11.26,19:04:10,A06,60+0,Normal,https://lichess.org/F0lBjQe8,e4 d5 Nf3 dxe4 Ng5 e5 Nc3 Nf6 Ngxe4 Nxe4 Nxe4 Nc6 Bc4 Bf5 d3 Bxe4 dxe4 Qxd1+ Kxd1 Bc5 Bd2 O-O-O Bd3 Bxf2 Rf1 Bc5 c3 f6 Kc2 a6 Be2 b5 Rad1 b4 cxb4 Nd4+ Kd3 Bb6 Ke3 Nc2+ Kf3 Nd4+ Kf2 Nf5+ Ke1 Nd4 Bc3 Nc2#
Rated bullet game,Lichess.org,dhawalplayse4,Nesse93,0-1,1997,2087,2020.11.26,19:01:52,B02,60+0,Time forfeit,https://lichess.org/iPiCFPJR,e4 Nf6 d3 e5 Nc3 Nc6 Nf3 Bb4 Be3 d5 exd5 Nxd5 Qd2 O-O a3 Ba5 b4 Ncxb4 axb4 Bxb4 d4 Bxc3 Qxc3 Nxc3 Nxe5 c5 dxc5 Re8 Nf3 Bg4 Bd3 Bxf3 gxf3 Nd5 O-O-O Qa5 Bxh7+ Kxh7 Rxd5 Qa1+ Kd2 Qxh1 Rd3 Rad8 Kc3 Rxd3+ cxd3 Qxf3 Kd4 Rxe3 Kc3 Re2 Kd4 Qxf2+ Kc4 Rc2+ Kb5 Qxc5+ Ka4 Ra2+ Kb3 Qa3+ Kc4 Rc2+ Kd5 Qc5+ Ke4 Re2+
Rated bullet game,Lichess.org,dhawalplayse4,epsiloncat,1/2-1/2,1996,2018,2020.11.26,18:59:41,B02,60+0,Normal,https://lichess.org/kCvnZ1z2,e4 Nf6 e5 Nd5 c4 Nb6 c5 d6 cxb6 axb6 d4 dxe5 dxe5 Bd7 Nc3 e6 Nf3 Be7 Bb5 c6 Bd3 O-O Be3 b5 Qc2 Na6 Bxh7+ Kh8 Bd3 Nb4 Qd2 Nxd3+ Qxd3 b4 Ne4 c5 Nxc5 Bxc5 Bxc5 Re8 Ng5 Qxg5 Qe3 Qxg2 Rf1 Bb5 O-O-O Bxf1 Rd7 Qg6 Rxb7 Rac8 Rxb4 Bd3 Rh4+ Kg8 Kd2 Bf5 Rf4 Red8+ Ke2 Qh5+ Qf3 Qxf3+ Rxf3 Bg4 Ke3 Bxf3 Kxf3 Rxc5 b4 Rc2 a4 Ra2 b5 Rxa4 b6 Rb4 Kg3 Rxb6 f4 Rb5 h4 Rd4 Kg4 Rbb4 Kh5 Rxf4 Kg5 Rxh4
Rated bullet game,Lichess.org,LeandroBrufman,dhawalplayse4,0-1,1963,1991,2020.11.26,18:57:06,B01,60+0,Time forfeit,https://lichess.org/jBD0PF4Y,e4 d5 exd5 Nf6 Nf3 Nxd5 Bc4 Nc6 O-O Bf5 d3 e6 Bf4 Bd6 Bxd6 Qxd6 Nbd2 e5 Ne4 Bxe4 dxe4 Nf4 Qxd6 cxd6 Rad1 Ke7 Rd2 a6 Rfd1 b5 Bd5 Nxd5 Rxd5 Rad8 c3 Rhe8 Ne1 f5 f3 f4 Nc2 Ke6 Na3 Ne7 R5d2 d5 exd5+ Nxd5 c4 bxc4 Nxc4 Rd7 b3 Red8 Kf2 Nc3 Rxd7 Rxd7 Rxd7 Kxd7 Nxe5+ Ke6 Nd3 Kd5 Nxf4+ Ke5 Nd3+ Kd4 Nb4 a5 Nc6+ Kc5 Nxa5 Nxa2 g3 Nb4 f4 Nd3+ Kf3 Nb4 Kg4 g6 h4 Nd5 h5 Nf6+ Kg5 Ne4+ Kg4 gxh5+ Kxh5 Nxg3+ Kg5 Ne4+ Kh6 Ng3 Kxh7 Nf5 Nc4 Kb4 Ne5 Kxb3 Kg6 Ne3 Ng4 Nd5 f5 Ne7+
